_id,validated,venue_name,venue_type,venue_address,website,events,etc,menu,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
1,True,Sacred Heart Parish,Church,"310 Shady Avenue, Pittsburgh, PA 15206",http://www.sacredheartparishshadyside.org/Fish-Fry,"Friday Mar 10 from 5:00 PM to 7:30 PM, Friday Mar 31 from 5:00 PM to 7:30 PM, Friday Apr 7 from 5:00 PM to 7:30 PM, Friday Mar 24 from 5:00 PM to 7:30 PM, Friday Mar 17 from 5:00 PM to 7:30 PM, Friday Mar 3 from 5:00 PM to 7:30 PM",Fridays of Lent (except Good Friday) 5-7:30,see website,,412-361-3131,,,True,,,,True,282,40.456095,-79.923314
2,True,"St. James the Apostle, Pulaski",Church,"4019 US-422, Pulaski, PA 16143",,,,"Fridays of Lent, except Good Friday, 4-7 p.m. Serving baked or fried fish, french fries, pierogies, macaroni and cheese, green beans, cole slaw, roll, drinks and desserts. Cost is $9 for adult dinner, $4 for kids. Takeout fish sandwich and french fries is $5 from 11 a.m.-1 p.m. only. Phone for takeout sandwich orders only.",,724-964-8047,,,True,,True,,True,208,40.73507,-80.29478
3,True,VFW Post 764,Unsure / N/A,"460 Valleybrook Rd, McMurray, PA 15317",,"Friday Mar 31 from 11:30 AM to 8:00 PM, Friday Mar 24 from 11:30 AM to 8:00 PM, Friday Mar 17 from 11:30 AM to 8:00 PM, Friday Apr 14 from 11:30 AM to 8:00 PM, Friday Apr 7 from 11:30 AM to 8:00 PM, Friday Mar 3 from 11:30 AM to 8:00 PM, Friday Mar 10 from 11:30 AM to 8:00 PM",,,,,,,True,,,,True,209,40.285113,-80.089085
4,True,"St. Alphonsus, McDonald",Church," 219 W Lincoln Ave, McDonald, PA 15057",,"Friday Mar 3 from 11:00 AM to 7:00 PM, Wednesday Mar 1 from 11:00 AM to 7:00 PM",,"Baked or fried fish dinner, with roll or sandwich bun, $7. Also, cole slaw, pierogies, haluski, macaroni and cheese, desserts and canned soda, with coffee, lemon blend or iced tea included with purchase.",,412-  303-8786,,,True,,True,,True,211,40.368263,-80.236369
5,True,Richeyville VFC,Fire Department,"14 Firehall Road, Richeyville, PA 15358",http://rvfc27.com,"Wednesday Mar 1 from 10:30 AM to 6:00 PM, Friday Apr 14 from 10:30 AM to 6:00 PM, Friday Apr 7 from 10:30 AM to 6:00 PM, Friday Mar 24 from 10:30 AM to 6:00 PM, Friday Mar 17 from 10:30 AM to 6:00 PM, Friday Mar 10 from 10:30 AM to 6:00 PM, Friday Mar 31 from 10:30 AM to 6:00 PM, Friday Mar 3 from 10:30 AM to 6:00 PM","Wednesday, March 1st (Ash Wednesday) and every Friday during Lent.",,,724-632-6390,,,True,,True,,True,210,40.05341,-80.002
6,False,Labriola's Italian Market,,"605 Freeport Road Aspinwall, Pa 15215",,,,,,,,,,,,,False,110,40.488439,-79.898697
7,True,Fire Department of North Versailles at the South Wilmerding Social Club,Restaurant,"830 Sylvan Ave., North Versailles, PA",https://www.facebook.com/SWSC60/,"Friday Apr 14 from 10:30 AM to 8:00 PM, Friday Mar 10 from 10:30 AM to 8:00 PM, Friday Mar 17 from 10:30 AM to 8:00 PM, Friday Apr 7 from 10:30 AM to 8:00 PM, Friday Mar 24 from 10:30 AM to 8:00 PM, Friday Mar 3 from 10:30 AM to 8:00 PM, Friday Mar 31 from 10:30 AM to 8:00 PM, Wednesday Mar 1 from 10:30 AM to 8:00 PM",Call for business deliveries to surrounding areas.  Homemade Huluski and Mac and Cheese,https://www.facebook.com/SWSC60/photos/a.665539813557612.1073741829.420848938026702/1069721223139467/?type=3&theater,SWSC building.  Enter through double doors on Sylvan Avenue.,412-829-7422,,,True,True,True,,True,151,40.389236,-79.795318
8,True,St. Alexis Church,Church,"10090 Old Perry Highway, wexford, pa",www.stalexis.org,"Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM",,,,724-401- 1FRY,,,True,,False,True,True,212,40.595803,-80.042663
9,False,Robert Wholey & Co Inc,,"1711 Penn Avenue, Pittsburgh, PA",,,,,,,,,,,,,False,99,40.450032,-79.98599
10,True,Most Holy Name,Unsure / N/A,"1515 Tinsbury Street, Pittsburgh, PA",https://www.mostholynameofjesusparish15212.org/,"Friday Mar 10 from 4:00 AM to 7:00 PM, Friday Mar 3 from 4:00 AM to 7:00 PM, Friday Mar 24 from 4:00 AM to 7:00 PM, Friday Mar 31 from 4:00 AM to 7:00 PM, Friday Apr 7 from 4:00 AM to 7:00 PM, Friday Mar 17 from 4:00 AM to 7:00 PM",,https://www.mostholynameofjesusparish15212.org/documents/2017/2/2017%20fish%20menu%20jpg.pdf,,,,,True,,,,True,283,40.464242,-79.983391
11,True,Keith Heinritz Katering,Restaurant,"209 Brinton Ave, Trafford, PA",https://www.facebook.com/keithskatering/,"Friday Mar 10 from 10:30 AM to 9:00 PM, Friday Mar 17 from 10:30 AM to 9:00 PM, Friday Mar 3 from 10:30 AM to 9:00 PM, Friday Mar 31 from 10:30 AM to 9:00 PM, Friday Apr 14 from 10:30 AM to 9:00 PM, Friday Apr 7 from 10:30 AM to 9:00 PM, Friday Mar 24 from 10:30 AM to 9:00 PM",,https://www.facebook.com/keithskatering/photos/pcb.1638585696167981/1638585319501352/?type=3&theater,,412-373-6788,,,True,,True,,True,145,40.382784,-79.762428
12,True,Church of St Anne Fish Fry,Other,"4040 Willow Ave, Castle Shannon",www.stanneparish.com,"Wednesday Mar 1 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM","To order takeout, call 412-561-0101 from 3:30-6:30 p.m., with orders available for pickup from 4-6:45 p.m.","baked or fried fish dinner, fried seafood platter, shrimp dinner, baked fish Florentine, crab cake dinner, jumbo fish sandwich, cole slaw, french fries, onion rings, baked potato, homemade pierogies, macaroni and cheese, haluski, pizza.","Location is a school, fish fry in the gym",412-561-0101,,True,True,True,False,True,True,214,40.361295,-80.029514
13,True,Logans Ferry Heights ,Fire Department,"1001 Summit Ave., New Kensington, PA 15068",http://www.lfhvfd.com/51101.html,"Friday Mar 17 from 4:00 PM to 8:00 PM, Friday Apr 14 from 11:30 AM to 8:00 PM, Friday Mar 24 from 4:00 PM to 8:00 PM, Friday Mar 31 from 4:00 PM to 8:00 PM, Friday Mar 3 from 4:00 PM to 8:00 PM, Friday Mar 10 from 4:00 PM to 8:00 PM, Friday Apr 7 from 4:00 PM to 8:00 PM",,http://www.lfhvfd.com/51101.html,,,,,True,,,,True,284,40.546165,-79.749766
