validated,_id,venue_name,venue_type,venue_address,venue_neighborhood,website,events,etc,menu,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
,,,,,,,,,,,,,,,,,,,,,
1,TRUE,Sacred Heart Parish,Church,"310 Shady Avenue, Pittsburgh, PA 15206",Shadyside,http://www.sacredheartparishshadyside.org/Fish...,"Friday Mar 10 from 5:00 PM to 7:30 PM, Friday ...",Fridays of Lent (except Good Friday) 5-7:30,see website,NaN,412-361-3131,NaN,NaN,TRUE,NaN,NaN,NaN,TRUE,282,40.456095,-79.923314
9,FALSE,Robert Wholey & Co Inc,NaN,"1711 Penn Avenue, Pittsburgh, PA",Strip District,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FALSE,99,40.450032,-79.98599
10,TRUE,Most Holy Name,Unsure / N/A,"1515 Tinsbury Street, Pittsburgh, PA",Troy Hill,https://www.mostholynameofjesusparish15212.org/,"Friday Mar 10 from 4:00 AM to 7:00 PM, Friday ...",NaN,https://www.mostholynameofjesusparish15212.org...,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,TRUE,283,40.464242,-79.983391
23,TRUE,"St. Teresa of Avila, Perrysville",Church,"1000 Avila Court Pittsburgh, PA 15237",McKnight,http://avilaparish.org/lenten-fish-fry/,"Friday Mar 10 from 4:30 PM to 7:30 PM, Friday ...",NaN,"Fried Fish, Baked Fish, Fried Shrimp, Fish San...",NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,TRUE,47,40.539051,-80.039719
26,TRUE,Nied's Hotel,Restaurant,"5438 Butler St, Pittsburgh, PA 15201",Stanton Heights,http://niedshotel.myfastsite.com/,"Friday Mar 24 from 7:00 AM to 11:45 PM, Friday...",famous fish sandwich,http://niedshotel.myfastsite.com/menu/,NaN,412-781-9853,NaN,NaN,TRUE,TRUE,TRUE,NaN,TRUE,163,40.483363,-79.949836
28,FALSE,Harris Grill,Restaurant,"5747 Ellsworth, Pittsburgh, PA",Shadyside,http://harrisgrill.com/,NaN,No info for this year.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FALSE,62,40.455965,-79.931308
29,TRUE,"St. Stephen, Hazelwood",Church,"134 East Elizabeth St. Pittsburgh, PA",Hazelwood,http://www.ststephen-hazelwood.org/,"Friday Mar 31 from 3:30 PM to 7:00 PM, Friday ...",NaN,Baked and fried fish dinners include french fr...,NaN,412-421-9210 office 412-421-4748 takeout orders,NaN,NaN,TRUE,FALSE,FALSE,TRUE,TRUE,46,40.407194,-79.942663
40,FALSE,Brown Chapel AME Church,Church,"1400 Boyle St. Pittsburgh, PA",Fineview,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FALSE,170,40.457463,-80.006315
51,TRUE,Kretzler's Tavern,Restaurant,"2240 Babcock Blvd., Pittsburgh, Pennsylvania",North Hills,http://www.kretzlerstavern.com/,NaN,NaN,famous fish sandwich,NaN,NaN,NaN,NaN,NaN,TRUE,TRUE,NaN,TRUE,286,40.512522,-79.997174
53,TRUE,"St. Therese of Lisieux, Munhall",Church,"3 St. Therese Court Pittsburgh, PA",Munhall,http://www.st-therese.net/,"Friday Mar 17 from 3:30 PM to 7:00 PM, Friday ...",NaN,NaN,NaN,412-462-8164,NaN,NaN,TRUE,NaN,FALSE,NaN,TRUE,48,40.387956,-79.901066
